SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",24,2,118,0,"$1,424,601,459",27.184%,8.900%,2.427%,2.913%,2.913%,618
ART,-2,0,3 426,0,"$127,486,096",20.906%,12.892%,11.150%,3.136%,2.091%,287
EDU,2,0,34,0,"$499,714,076",28.118%,6.765%,2.537%,1.480%,4.017%,473
ENV,-2,2,12,2,"$207,365,209",30.303%,6.667%,3.636%,3.636%,1.818%,165
HEL,748,4,42,0,"$367,307,573",28.175%,5.159%,3.175%,3.175%,5.556%,252
HMS,20,2,3 990,0,"$975,059,711",20.978%,6.151%,5.521%,5.521%,6.940%,634
HOS,-16,-28,6,0,"$9,922,566",20.000%,20.000%,60.000%,20.000%,40.000%,5
IFA,8,2,8,2,"$14,572,163,286",24.671%,7.895%,3.618%,2.303%,6.579%,304
MMB,32,6,4,0,"$1,669,607",16.667%,8.333%,8.333%,8.333%,16.667%,12
PSB,38,4,218,2,"$575,004,046",23.944%,3.912%,1.878%,2.504%,2.973%,639
REL,12,2,4,0,"$40,809,889",31.250%,3.125%,1.562%,3.125%,1.562%,64
UNI,0,0,0,0,"$1,001,110,441",63.636%,9.091%,18.182%,9.091%,9.091%,11
UNU,0,2,8,4,"$12,865,122",38.889%,11.111%,11.111%,5.556%,5.556%,18
