SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",2,0,66,0,"$219,318,333",31.40%,8.14%,5.81%,4.070%,9.30%,172
ART,2,0,64,0,"$14,788,481",32.81%,14.06%,6.25%,6.250%,3.12%,64
EDU,-8,-2,14,0,"$124,935,363",27.50%,10.00%,2.50%,2.500%,8.75%,80
ENV,-2,2,10,0,"$7,971,132",33.33%,6.06%,15.15%,3.030%,9.09%,33
HEL,-12,0,16,0,"$75,285,689",22.22%,9.72%,5.56%,4.167%,5.56%,72
HMS,-4,0,906,0,"$190,013,575",28.09%,6.35%,7.02%,2.676%,4.35%,299
HOS,-64,2,190,190,"$259,048,524",60.00%,23.33%,3.33%,3.333%,3.33%,30
IFA,24,2,4,0,"$49,895",25.00%,12.50%,12.50%,12.500%,12.50%,8
PSB,-10,2,66,0,"$143,289,814",16.50%,8.74%,8.74%,4.854%,5.83%,103
REL,16,6,46,0,"$3,791,403",21.95%,2.44%,4.88%,2.439%,4.88%,41
UNI,-16,-10,6,6,"$11,389,997",62.50%,12.50%,12.50%,12.500%,12.50%,8
