SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",0,0,68,0,"$45,167,141",25.45%,12.73%,3.64%,5.455%,7.27%,55
ART,-16,-2,66,24,"$4,341,414",28.07%,8.77%,3.51%,1.754%,1.75%,57
EDU,-118,0,8,0,"$66,895,092",16.67%,5.56%,5.56%,10.000%,6.67%,90
ENV,-32,0,2,0,"$2,531,647",12.00%,8.00%,4.00%,2.000%,2.00%,50
HEL,4,0,58,2,"$56,380,534",16.67%,9.72%,5.56%,6.944%,9.72%,72
HMS,0,0,8,0,"$63,848,968",20.38%,7.11%,8.06%,3.791%,2.84%,211
HOS,0,0,-340,-340,"$1,476,128",50.00%,25.00%,25.00%,25.000%,25.00%,4
IFA,8,0,0,0,"$272,704",25.00%,8.33%,8.33%,8.333%,8.33%,12
MMB,,,6,6,$0,100.00%,100.00%,100.00%,100.000%,100.00%,1
PSB,10,0,6,0,"$13,242,587",18.18%,9.09%,5.45%,1.818%,7.27%,55
REL,-130,-18,14,0,"$1,105,567",12.50%,8.33%,4.17%,4.167%,4.17%,24
UNI,0,0,0,0,$0,50.00%,50.00%,50.00%,50.000%,50.00%,2
UNU,2,2,,,"$1,789,188",100.00%,100.00%,100.00%,100.000%,100.00%,1
