SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-2,0,30,0,"$178,151,246",20.20%,11.11%,4.040%,7.07%,5.05%,99
ART,0,0,88,0,"$11,248,169",34.07%,7.69%,6.593%,3.30%,1.10%,91
EDU,7 252,0,46,0,"$44,849,216",18.56%,7.22%,6.186%,2.06%,6.19%,97
ENV,-46,0,16,0,"$7,306,552",27.16%,7.41%,2.469%,1.23%,2.47%,81
HEL,-8,0,92,0,"$39,194,299",30.26%,13.16%,6.579%,3.95%,1.32%,76
HMS,-16,0,-20,0,"$51,249,619",20.98%,9.38%,4.018%,5.36%,4.91%,224
HOS,-26,-2,4,4,"$16,643,758",37.50%,25.00%,12.500%,12.50%,12.50%,8
IFA,10,10,2,2,"$3,016,996",23.08%,7.69%,7.692%,7.69%,23.08%,13
PSB,0,0,22,0,"$9,191,594",15.49%,14.08%,2.817%,4.23%,4.23%,71
REL,-28,-6,30,4,"$192,849",27.27%,18.18%,9.091%,9.09%,9.09%,11
UNI,-6,0,0,0,"$2,058,148",66.67%,33.33%,33.333%,33.33%,33.33%,3
UNU,-2,-2,0,0,"$2,911,239",33.33%,33.33%,33.333%,33.33%,66.67%,3
