SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-34,0,144,0,"$587,394,608",23.14%,9.56%,4.40%,3.442%,6.31%,523
ART,-56,-4,90,0,"$41,355,990",28.57%,12.50%,8.33%,3.571%,5.36%,168
EDU,-74,0,14,0,"$123,337,020",10.57%,2.64%,1.89%,1.509%,3.02%,265
ENV,-6,0,110,0,"$17,380,732",19.75%,9.88%,2.47%,3.704%,3.70%,81
HEL,4,0,154,0,"$219,268,678",20.88%,6.83%,6.83%,3.614%,5.22%,249
HMS,-40,0,24,0,"$355,763,356",23.34%,7.14%,4.01%,4.007%,7.84%,574
HOS,4,2,2,0,"$84,179,376",53.12%,9.38%,6.25%,3.125%,3.12%,32
IFA,58,0,6,0,"$1,506,426",15.38%,7.69%,3.85%,7.692%,3.85%,26
MMB,6,4,0,0,$0,25.00%,25.00%,25.00%,25.000%,25.00%,4
PSB,-42,0,4 558,0,"$64,031,750",9.78%,5.43%,3.62%,3.261%,5.07%,276
REL,-26,0,24,0,"$4,644,864",21.01%,3.36%,1.68%,1.681%,2.52%,119
UNI,24,-4,2,2,"$54,003,544",66.67%,5.56%,11.11%,5.556%,5.56%,18
UNU,-10,0,0,0,"$3,064,666",28.57%,28.57%,42.86%,14.286%,28.57%,7
