SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-2,0,164,0,"$372,961,649",23.72%,10.70%,6.977%,5.1163%,6.047%,215
ART,116,0,42,0,"$77,204,172",17.11%,20.39%,10.526%,3.9474%,4.605%,152
EDU,2 004,0,32,0,"$1,318,671,906",8.68%,5.28%,2.642%,2.6415%,40.755%,265
ENV,64,0,12,0,"$76,167,487",25.26%,10.53%,4.211%,6.3158%,3.158%,95
HEL,-26,2,284,0,"$182,342,140",23.97%,8.22%,6.164%,6.1644%,2.740%,146
HMS,-58,0,416,0,"$360,344,316",15.42%,4.91%,7.009%,5.8411%,6.075%,428
HOS,-6,-4,,,"$49,790,357",66.67%,16.67%,16.667%,33.3333%,16.667%,6
IFA,22,20,10,0,"$676,634",19.51%,2.44%,2.439%,2.4390%,2.439%,41
PSB,-16,0,80,0,"$29,364,172",10.60%,4.64%,7.285%,2.6490%,2.649%,151
REL,-14,-2,556,0,"$104,808",8.89%,2.22%,2.222%,2.2222%,2.222%,45
UNI,10,0,4,0,"$90,214,242",33.33%,8.33%,8.333%,8.3333%,8.333%,12
UNU,12,14,0,0,"$5,537,545",42.86%,14.29%,28.571%,14.2857%,14.286%,7
