SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-698,0,24,0,"$684,721,796",28.11%,10.74%,4.584%,4.704%,3.016%,829
ART,-20,0,42,0,"$140,968,410",28.93%,15.21%,7.731%,3.491%,1.746%,401
EDU,-2,0,24,0,"$437,751,160",29.13%,7.59%,2.326%,2.203%,3.182%,817
ENV,-438,0,16,0,"$248,500,905",28.00%,10.00%,3.714%,3.714%,4.857%,350
HEL,10,0,24,0,"$319,316,209",27.17%,8.90%,5.479%,3.425%,4.795%,438
HMS,-4,0,5 112,0,"$627,016,318",25.89%,6.54%,6.861%,5.761%,3.560%,1545
HOS,-80,4,-2,0,"$15,285,395",42.11%,10.53%,5.263%,5.263%,5.263%,19
IFA,4,0,20,0,"$5,479,709",19.72%,1.41%,2.113%,0.704%,2.113%,142
MMB,108,108,0,0,"$125,213",20.00%,20.00%,20.000%,20.000%,40.000%,5
PSB,-670,0,50,0,"$810,477,275",20.76%,6.14%,3.971%,4.332%,3.610%,554
REL,-4,0,28,0,"$32,778,019",13.02%,3.81%,0.952%,1.270%,0.952%,315
UNI,-6,-4,0,0,"$39,141,592",61.54%,15.38%,7.692%,7.692%,7.692%,13
UNU,-16,0,164,4,"$11,282,693",33.33%,12.50%,4.167%,4.167%,8.333%,24
