Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, Culture, and Humanities",63.84%,"9,965","$6,574,150,795",13.88%,-9.42%
Education (Excluding Universities),68.38%,"11,982","$37,388,011,297",8.78%,-13.49%
Environment and Animals,50.95%,"4,483","$5,323,561,781",16.04%,-0.62%
Health (Excluding Hospitals),69.81%,"9,428","$27,572,239,818",7.86%,-13.80%
Hospitals,53.08%,"1,151","$9,090,157,551",5.62%,-0.99%
Human Services,70.50%,"32,031","$55,608,422,734",8.13%,-18.16%
"International, Foreign Affairs",56.99%,"1,230","$19,366,190,049",8.37%,-4.17%
Mutual/Membership Benefit,66.15%,65,"$27,279,912",6.87%,-25.91%
"Public, Societal Benefit",66.71%,"8,292","$16,815,762,865",10.39%,-16.66%
Religion Related,51.89%,"2,359","$1,531,436,171",12.16%,-0.88%
Unclassified,69.78%,"21,321","$61,551,529,253",8.03%,-14.17%
Universities,59.67%,"1,168","$26,851,897,779",5.94%,-2.81%
Total,67.35%,"103,475","$267,700,640,005",9.05%,-12.83%
