SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-2,0,40,0,"$3,306,802,980",19.33%,7.64%,4.179%,4.1785%,6.315%,2106
ART,-42,-2,178,0,"$265,956,874",24.89%,11.21%,8.588%,3.7846%,2.766%,687
EDU,-16,0,18 656,0,"$984,261,116",13.61%,3.95%,1.755%,1.9436%,4.702%,1595
ENV,-60,0,1 020,0,"$375,782,144",20.45%,6.94%,2.439%,2.2514%,3.752%,533
HEL,-2,0,74,0,"$1,535,098,993",17.83%,6.21%,4.088%,4.4154%,6.705%,1223
HMS,-330,0,76,0,"$2,366,442,045",15.15%,5.77%,4.800%,3.8097%,5.811%,4646
HOS,8,0,18,0,"$1,123,015,680",39.42%,6.57%,3.650%,1.4599%,1.460%,137
IFA,6,0,12,0,"$7,981,472",13.43%,2.31%,0.926%,1.8519%,2.778%,216
MMB,6,-4,30,0,"$5,654,836",2.43%,0.81%,0.810%,0.6073%,0.202%,494
PSB,38,0,52,0,"$945,449,079",10.94%,3.84%,2.689%,2.2589%,3.765%,2789
REL,-2 368,0,14,0,"$80,089,501",14.51%,1.81%,0.907%,1.1338%,1.474%,882
UNI,-8,-8,-4,0,"$1,557,161,318",50.51%,8.08%,8.081%,1.0101%,3.030%,99
UNU,-24,-2,0,0,"$7,165,967",8.33%,8.33%,8.333%,11.1111%,8.333%,36
