SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-166,0,46,0,"$775,475,475",20.20%,7.980%,6.234%,7.232%,12.219%,401
ART,-12,0,178,0,"$94,667,258",26.37%,9.453%,6.965%,3.483%,3.483%,201
EDU,-14,0,28,0,"$1,608,584,882",17.00%,5.500%,3.000%,1.750%,17.000%,400
ENV,42,4,34,0,"$112,039,100",14.95%,6.542%,4.673%,1.869%,5.607%,107
HEL,10,0,94,0,"$407,799,567",19.58%,9.583%,2.500%,5.833%,7.083%,240
HMS,18,0,4,0,"$482,145,074",13.22%,5.517%,5.747%,8.276%,10.920%,870
HOS,32,6,16,24,"$157,940,983",48.28%,6.897%,6.897%,6.897%,3.448%,29
IFA,-80,-2,0,0,"$107,523",12.50%,4.167%,4.167%,8.333%,4.167%,24
PSB,10,2,68,0,"$146,008,756",15.77%,5.047%,2.839%,4.416%,7.571%,317
REL,-182,-4,36,0,"$6,885,933",7.05%,2.564%,1.923%,1.923%,1.282%,156
UNI,-4,-2,0,0,"$420,501,319",46.15%,15.385%,15.385%,7.692%,15.385%,13
UNU,12,0,0,0,"$3,275,406",20.00%,20.000%,20.000%,10.000%,20.000%,10
