SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",0,0,176,0,"$204,468,154",23.04%,9.80%,8.824%,8.824%,5.88%,204
ART,-28,0,64,0,"$66,988,665",26.28%,13.87%,8.029%,4.380%,5.11%,137
EDU,6,0,12,0,"$47,878,817",20.75%,7.55%,2.516%,6.918%,4.40%,159
ENV,-942,0,280,2,"$47,475,212",28.23%,6.45%,8.871%,7.258%,9.68%,124
HEL,-8,0,-2,0,"$150,774,378",23.42%,13.51%,6.306%,7.207%,5.41%,111
HMS,8,0,80,0,"$261,034,511",19.34%,8.85%,6.230%,5.902%,9.84%,305
HOS,-8,-4,0,0,"$80,526,919",70.00%,20.00%,10.000%,10.000%,10.00%,10
IFA,6,6,74,4,"$916,049",12.50%,31.25%,6.250%,6.250%,6.25%,16
MMB,-330,-330,12,12,$0,33.33%,33.33%,33.333%,33.333%,33.33%,3
PSB,-8,0,110,0,"$61,873,767",18.71%,5.76%,2.158%,5.036%,5.76%,139
REL,-24,0,10,0,"$47,200",7.32%,2.44%,2.439%,2.439%,2.44%,41
UNI,-4,-2,12,12,"$32,390,771",71.43%,14.29%,28.571%,14.286%,14.29%,7
UNU,4,2,0,0,"$28,580,340",16.67%,50.00%,50.000%,16.667%,33.33%,6
