SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",4,0,78,0,"$370,403,751",18.49%,7.356%,4.573%,3.579%,4.97%,503
ART,-224,-2,862,0,"$13,713,257",17.69%,9.524%,9.524%,4.082%,5.44%,147
EDU,-22,0,36,0,"$86,943,450",12.00%,4.308%,2.154%,3.077%,3.69%,325
ENV,6,0,26,0,"$32,096,153",17.32%,8.661%,3.937%,3.937%,7.09%,127
HEL,-6,0,44,0,"$143,861,771",16.36%,7.435%,3.717%,2.974%,8.55%,269
HMS,-16,0,216,0,"$977,106,522",15.77%,4.752%,4.752%,5.763%,8.29%,989
HOS,-44,-2,40,0,"$3,050,136",21.74%,8.696%,4.348%,4.348%,4.35%,23
IFA,44,2,54,0,"$1,276,533",13.33%,4.444%,2.222%,4.444%,6.67%,45
MMB,,,260,0,$0,33.33%,33.333%,33.333%,33.333%,33.33%,3
PSB,-8,0,48,0,"$60,867,930",8.47%,3.729%,4.068%,3.729%,6.78%,295
REL,-14 362,0,28,0,"$5,721,297",19.91%,1.896%,0.948%,0.948%,2.84%,211
UNI,-8,-8,0,0,"$156,380,048",38.89%,11.111%,27.778%,5.556%,11.11%,18
UNU,-22,-10,4,4,"$51,620",16.67%,33.333%,16.667%,16.667%,16.67%,6
