SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-8,-2,34,0,"$1,185,526,083",28.140%,7.56%,5.12%,3.140%,4.070%,860
ART,-26,0,37 874,0,"$211,094,004",24.590%,12.79%,3.93%,2.951%,3.607%,305
EDU,-20,0,184,0,"$367,420,943",14.202%,2.92%,1.75%,1.362%,5.447%,514
ENV,-42,0,6,0,"$132,952,020",20.382%,8.92%,3.82%,3.185%,2.548%,157
HEL,10,0,166,0,"$472,406,727",24.536%,6.80%,4.54%,1.649%,3.093%,485
HMS,-70,0,44,0,"$1,365,459,106",19.914%,7.84%,5.25%,5.104%,6.398%,1391
HOS,-2,-2,504,0,"$260,903,749",66.327%,5.10%,2.04%,1.020%,1.020%,98
IFA,72,0,54,0,"$19,477,780",14.474%,1.32%,2.63%,1.316%,2.632%,76
MMB,142,142,2,2,$0,25.000%,25.00%,25.00%,25.000%,25.000%,4
PSB,-58,0,4 788,0,"$298,776,050",12.952%,3.81%,3.62%,3.810%,7.048%,525
REL,-94,0,8,0,"$18,268,253",12.274%,2.53%,1.08%,1.083%,0.722%,277
UNI,-6,-6,14,20,"$1,557,839,680",59.091%,4.55%,2.27%,2.273%,2.273%,44
UNU,0,0,0,0,"$7,690,526",50.000%,20.00%,10.00%,10.000%,30.000%,10
