SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-172,0,56,0,"$780,025,649",23.459%,5.37%,3.777%,4.573%,8.350%,503
ART,4,0,4,0,"$106,015,868",27.273%,15.79%,4.306%,1.435%,1.914%,209
EDU,104,0,56,0,"$1,193,271,262",17.874%,7.57%,2.093%,2.254%,22.705%,621
ENV,-512,0,6,0,"$66,013,655",17.949%,5.13%,2.564%,3.590%,3.077%,195
HEL,-4,0,4 014,0,"$316,561,367",23.301%,3.56%,2.589%,1.618%,5.825%,309
HMS,-10,0,166,0,"$434,305,625",18.904%,5.91%,3.867%,3.652%,4.619%,931
HOS,10,2,0,0,"$161,111,483",41.667%,4.17%,4.167%,8.333%,4.167%,24
IFA,6,2,160,0,"$85,290,393",12.069%,3.45%,5.172%,1.724%,3.448%,58
MMB,0,0,14,0,$0,25.000%,25.00%,25.000%,25.000%,25.000%,4
PSB,-56,2,470,0,"$82,473,592",12.754%,4.93%,3.188%,2.899%,3.478%,345
REL,-2,0,36,0,"$24,839,625",9.953%,2.84%,1.422%,0.948%,1.422%,211
UNI,-10,0,2,0,"$43,584,065",31.579%,5.26%,5.263%,5.263%,10.526%,19
UNU,-14,0,12,0,"$196,312,148",28.571%,14.29%,14.286%,14.286%,57.143%,7
