SUBSECTOR,mean_months_cash_on_hand_tangibleassets,median_months_cash_on_hand_tangibleassets,mean_months_cash_on_hand_notangibleassets,median_months_cash_on_hand_notangibleassets,total_govt_grants,proportion_govt_grants_20,proportion_govt_grants_40,proportion_govt_grants_60,proportion_govt_grants_80,proportion_govt_grants_100,total_number_nonprofits
"",-38,0,48,0,"$375,968,217",21.96%,6.27%,7.451%,5.490%,10.59%,255
ART,-2,0,16,0,"$19,745,965",31.62%,10.29%,11.765%,2.941%,2.21%,136
EDU,8,0,20,0,"$152,452,520",16.67%,6.67%,4.762%,3.333%,5.71%,210
ENV,6,2,46,2,"$44,933,926",27.59%,14.94%,6.897%,5.747%,6.90%,87
HEL,-2,0,12,0,"$192,945,917",23.13%,13.61%,6.803%,6.803%,4.08%,147
HMS,8,0,1 126,0,"$277,143,012",19.36%,9.56%,9.804%,6.127%,8.33%,408
HOS,-2,-2,0,0,"$144,133,846",75.00%,25.00%,12.500%,12.500%,25.00%,8
IFA,-2,0,8,0,"$2,213,542",17.86%,3.57%,7.143%,7.143%,7.14%,28
MMB,122,14,0,0,$0,33.33%,33.33%,33.333%,33.333%,33.33%,3
PSB,8,0,32,0,"$128,482,008",18.12%,8.05%,7.383%,6.711%,6.04%,149
REL,0,-2,12,0,"$2,257,425",15.38%,2.56%,7.692%,2.564%,2.56%,39
UNI,6,-8,0,0,"$105,523,444",50.00%,12.50%,12.500%,25.000%,25.00%,8
UNU,-4,-4,6,4,"$643,777",60.00%,60.00%,20.000%,20.000%,20.00%,5
